person_home_ownership,loan_intent,loan_grade,person_age,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,person_income,person_emp_length,cb_person_default_on_file
RENT,PERSONAL,C,24,25000,13.22,1,0.45,4,55164,8,Y
RENT,DEBTCONSOLIDATION,C,26,25000,12.87,1,0.45,2,56000,4,N
OWN,MEDICAL,C,24,20000,13.04,0,0.1,3,203500,8,N
MORTGAGE,EDUCATION,F,23,22000,17.58,1,0.12,3,190000,5,Y
OWN,PERSONAL,E,23,7750,17.04,1,0.56,4,13920,2,N
RENT,PERSONAL,B,24,25000,10.99,1,0.42,3,60000,0,N
RENT,PERSONAL,B,24,25000,11.11,1,0.42,3,60000,2,N
RENT,DEBTCONSOLIDATION,D,26,25000,14.83,1,0.46,2,54000,7,Y
OWN,DEBTCONSOLIDATION,D,23,4000,0,1,0.29,3,14000,2,N
RENT,MEDICAL,B,24,12000,12.69,0,0.06,2,200000,8,N
MORTGAGE,HOMEIMPROVEMENT,C,24,12000,13.49,0,0.06,2,200000,8,N
MORTGAGE,EDUCATION,C,21,16000,14.65,0,0.08,4,200000,5,N
RENT,HOMEIMPROVEMENT,E,25,25000,16.82,1,0.46,4,54000,3,N
RENT,PERSONAL,C,23,25000,12.73,1,0.42,3,60000,3,N
RENT,PERSONAL,B,23,25000,10.25,1,0.42,4,60000,7,N
RENT,EDUCATION,B,21,25000,10.99,1,0.42,4,60000,6,N
RENT,MEDICAL,C,25,25000,12.73,1,0.4,2,61959,9,N
RENT,HOMEIMPROVEMENT,D,22,25000,14.96,1,0.44,3,56400,2,Y
MORTGAGE,EDUCATION,A,23,28000,0,0,0.14,2,200000,7,N
MORTGAGE,DEBTCONSOLIDATION,C,21,25000,13.99,0,0.13,2,200000,2,N
MORTGAGE,VENTURE,A,24,24000,7.49,0,0.12,4,200000,3,N
MORTGAGE,EDUCATION,C,26,15000,14.79,0,0.07,3,200000,4,N
MORTGAGE,DEBTCONSOLIDATION,B,25,15500,11.99,0,0.08,2,200000,2,N
RENT,EDUCATION,A,24,10000,8.49,0,0.05,4,200000,8,N
RENT,EDUCATION,B,24,25000,9.91,1,0.38,2,66000,3,N
RENT,EDUCATION,C,22,25000,13.06,1,0.38,3,66000,6,Y
MORTGAGE,DEBTCONSOLIDATION,A,22,9000,6.17,0,0.04,4,200000,6,N
MORTGAGE,EDUCATION,B,144,6000,11.86,0,0.03,2,200000,4,N
RENT,EDUCATION,D,25,18000,16.32,0,0.09,3,200000,5,N
MORTGAGE,VENTURE,B,25,12000,10.38,0,0.06,2,200000,2,N
MORTGAGE,PERSONAL,C,25,23050,14.35,0,0.12,3,200000,9,N
MORTGAGE,DEBTCONSOLIDATION,B,24,20000,0,0,0.1,3,200000,8,N
RENT,DEBTCONSOLIDATION,E,24,25000,0,1,0.42,2,60000,2,Y
OWN,HOMEIMPROVEMENT,B,21,3000,0,1,0.21,4,14400,0,N
RENT,PERSONAL,D,26,25000,15.21,1,0.37,2,66996,10,Y
RENT,EDUCATION,A,23,25000,7.9,1,0.37,4,67000,3,N
RENT,VENTURE,B,24,25000,10.99,1,0.37,3,67000,2,N
RENT,PERSONAL,D,24,25000,14.09,1,0.37,3,68000,5,Y
RENT,PERSONAL,D,25,25000,17.49,1,0.36,2,69000,9,N
MORTGAGE,EDUCATION,B,25,12000,11.48,0,0.06,3,200000,0,N
MORTGAGE,VENTURE,E,26,20000,17.74,1,0.11,2,188000,10,N
MORTGAGE,PERSONAL,C,26,3000,13.92,0,0.01,3,200000,4,N
RENT,EDUCATION,D,25,25000,15.21,1,0.36,3,69996,9,N
OWN,MEDICAL,B,22,4000,10.99,1,0.28,3,14400,2,N
RENT,EDUCATION,B,24,25000,11.86,1,0.36,4,70000,3,N
OWN,PERSONAL,A,24,6000,7.49,1,0.42,3,14400,5,N
RENT,MEDICAL,D,24,25000,16.49,1,0.38,4,56100,7,N
RENT,VENTURE,D,25,25000,15.33,1,0.38,2,66000,9,Y
RENT,HOMEIMPROVEMENT,B,26,25000,11.58,1,0.38,4,66000,3,N
OWN,EDUCATION,A,25,5375,5.79,1,0.37,2,14400,7,N
RENT,MEDICAL,C,25,25000,13.11,1,0.34,2,72612,9,N
RENT,MEDICAL,B,23,25000,10.36,1,0.34,3,74000,3,N
RENT,DEBTCONSOLIDATION,B,25,25000,10.36,1,0.33,2,75000,9,N
RENT,MEDICAL,C,24,22000,0,0,0.11,2,192000,0,Y
MORTGAGE,VENTURE,A,21,20000,6.54,0,0.1,4,192000,123,N
MORTGAGE,MEDICAL,B,25,10000,12.53,0,0.05,4,191000,1,N
MORTGAGE,PERSONAL,A,26,15000,0,0,0.08,3,190300,5,N
MORTGAGE,VENTURE,C,22,10000,0,0,0.05,3,190000,3,N
RENT,EDUCATION,B,24,25000,10.25,1,0.33,4,75000,4,N
RENT,EDUCATION,D,22,25000,15.95,1,0.35,4,71000,1,Y
MORTGAGE,VENTURE,B,26,20000,12.18,0,0.11,4,190000,3,N
OWN,PERSONAL,B,23,24000,11.83,0,0.13,3,189996,0,N
RENT,DEBTCONSOLIDATION,C,23,25000,0,1,0.32,2,78000,7,Y
RENT,VENTURE,B,23,25000,10.62,1,0.32,3,78000,1,N
RENT,VENTURE,B,23,25000,10.74,1,0.32,3,78504,7,N
OWN,VENTURE,B,25,10000,10.25,0,0.05,4,186000,9,N
MORTGAGE,EDUCATION,B,24,35000,12.42,0,0.19,2,185000,0,N
RENT,VENTURE,C,25,15000,15.27,0,0.08,2,185000,6,N
RENT,MEDICAL,D,24,25000,15.33,1,0.34,2,62050,8,Y
RENT,VENTURE,D,23,25000,15.21,1,0.31,2,79416,7,Y
OWN,VENTURE,C,21,6250,14.72,1,0.43,2,14400,4,N
RENT,PERSONAL,D,24,25000,15.7,1,0.31,2,79631,8,Y
RENT,EDUCATION,C,24,25000,13.35,1,0.31,4,79632,0,N
MORTGAGE,MEDICAL,C,21,1500,0,0,0.1,4,14400,0,N
RENT,EDUCATION,A,24,25000,6.62,1,0.31,2,80000,6,N
RENT,DEBTCONSOLIDATION,C,26,25000,13.61,1,0.31,4,80000,5,N
RENT,MEDICAL,B,22,25000,11.36,0,0.14,2,185000,4,N
OWN,PERSONAL,A,26,5000,7.68,0,0.03,2,185000,10,N
RENT,HOMEIMPROVEMENT,D,24,22000,14.46,0,0.12,4,184992,7,Y
OWN,EDUCATION,B,23,2500,11.83,0,0.01,2,184000,5,N
MORTGAGE,DEBTCONSOLIDATION,C,24,20000,13.47,1,0.12,4,172000,6,Y
MORTGAGE,MEDICAL,B,24,20000,11.49,0,0.11,3,183000,2,N
MORTGAGE,EDUCATION,A,22,1000,0,0,0.01,2,183000,3,N
MORTGAGE,PERSONAL,A,25,15000,6.03,0,0.08,3,182952,9,N
RENT,DEBTCONSOLIDATION,E,23,25000,16.35,1,0.34,4,74004,7,N
RENT,DEBTCONSOLIDATION,D,26,25000,0,1,0.34,4,74004,10,Y
RENT,DEBTCONSOLIDATION,A,25,25000,7.29,1,0.31,3,81000,5,N
RENT,MEDICAL,B,23,25000,11.36,1,0.31,3,81600,1,N
RENT,VENTURE,B,24,25000,10.25,0,0.3,2,82000,8,N
RENT,EDUCATION,B,24,25000,11.12,0,0.3,3,83000,5,N
RENT,PERSONAL,D,24,25000,12.92,0,0.3,3,83000,5,Y
RENT,EDUCATION,E,24,18000,18.64,0,0.1,4,180000,8,Y
MORTGAGE,PERSONAL,A,23,28000,7.51,0,0.16,3,180000,8,N
OWN,HOMEIMPROVEMENT,E,23,4000,16.7,1,0.28,2,14400,2,N
OWN,PERSONAL,B,22,2100,11.14,0,0.15,4,14400,0,N
RENT,PERSONAL,F,22,25000,18.3,0,0.3,4,84500,6,N
RENT,MEDICAL,B,24,25000,10.62,0,0.29,4,85000,5,N
MORTGAGE,VENTURE,B,24,14000,11.99,0,0.08,2,180000,7,N
MORTGAGE,VENTURE,B,26,12000,9.63,0,0.07,4,180000,2,N
MORTGAGE,MEDICAL,F,25,10000,18.25,1,0.06,4,142800,9,N
MORTGAGE,DEBTCONSOLIDATION,C,23,6000,0,1,0.41,4,14664,0,N
RENT,HOMEIMPROVEMENT,D,24,25000,14.84,0,0.29,3,87000,8,N
RENT,VENTURE,E,24,25000,14.7,1,0.33,3,75000,0,Y
RENT,DEBTCONSOLIDATION,D,23,25000,16.02,1,0.33,4,76000,7,N
RENT,MEDICAL,D,23,25000,15.37,1,0.32,2,66215,1,Y
RENT,MEDICAL,B,25,25000,10.99,0,0.28,4,90000,9,N
OWN,HOMEIMPROVEMENT,A,21,6200,7.9,1,0.41,2,15000,0,N
OWN,PERSONAL,B,26,25000,10.99,0,0.14,4,180000,2,N
OWN,EDUCATION,B,24,21000,11.48,0,0.12,3,180000,8,N
OWN,MEDICAL,C,25,20000,14.26,0,0.11,4,180000,9,Y
OWN,HOMEIMPROVEMENT,A,26,10000,8,0,0.06,4,180000,0,N
MORTGAGE,VENTURE,B,25,9950,11.26,0,0.06,2,180000,3,N
OWN,MEDICAL,B,23,4475,0,1,0.3,4,15000,7,N
RENT,VENTURE,D,23,25000,16.32,1,0.32,3,78000,2,Y
RENT,MEDICAL,E,25,25000,17.93,1,0.32,4,66300,3,Y
RENT,DEBTCONSOLIDATION,B,23,25000,11.36,0,0.28,3,90000,0,N
RENT,DEBTCONSOLIDATION,D,24,25000,14.96,1,0.32,4,79000,9,Y
RENT,PERSONAL,C,24,25000,13.43,0,0.27,3,91800,4,Y
RENT,HOMEIMPROVEMENT,B,25,25000,12.69,0,0.27,3,92000,6,N
RENT,VENTURE,C,24,25000,12.73,0,0.27,4,92000,1,Y
RENT,VENTURE,D,23,25000,15.21,0,0.27,4,93600,3,N
MORTGAGE,MEDICAL,C,23,1750,12.68,0,0.12,3,15000,1,Y
RENT,MEDICAL,F,23,25000,19.04,1,0.3,4,70550,3,Y
RENT,DEBTCONSOLIDATION,D,25,25000,15.95,1,0.3,3,83800,2,Y
MORTGAGE,VENTURE,A,26,2600,8.9,0,0.01,4,175000,3,N
MORTGAGE,HOMEIMPROVEMENT,A,25,8000,7.9,0,0.05,2,175000,10,N
MORTGAGE,EDUCATION,B,22,18000,0,0,0.1,2,175000,6,N
MORTGAGE,PERSONAL,B,23,21000,11.99,0,0.12,3,175000,8,N
OWN,DEBTCONSOLIDATION,C,23,4000,13.98,1,0.27,4,15000,4,N
OWN,VENTURE,B,23,4600,10.99,1,0.31,2,15000,4,N
RENT,DEBTCONSOLIDATION,D,22,25000,15.58,1,0.28,2,88000,6,Y
RENT,MEDICAL,B,25,25000,10.99,1,0.28,2,74800,2,N
RENT,VENTURE,D,25,25000,14.96,1,0.28,4,88000,0,N
OWN,HOMEIMPROVEMENT,D,25,1750,15.31,0,0.12,4,15000,2,Y
RENT,VENTURE,D,26,25000,15.65,1,0.28,3,88000,2,N
RENT,VENTURE,B,25,25000,9.33,0,0.25,4,100000,1,N
MORTGAGE,PERSONAL,C,23,3600,13.47,1,0.24,4,15000,0,N
RENT,PERSONAL,B,24,25000,10.36,0,0.24,3,102400,8,N
RENT,HOMEIMPROVEMENT,E,24,25000,16.77,1,0.27,4,92000,1,Y
RENT,DEBTCONSOLIDATION,D,23,25000,14.59,1,0.27,2,93000,0,Y
RENT,VENTURE,C,22,3500,11.91,0,0.02,2,175000,6,Y
MORTGAGE,EDUCATION,A,23,7200,8.38,0,0.04,3,175000,3,N
RENT,VENTURE,B,25,9000,10.59,0,0.05,3,174708,9,N
MORTGAGE,DEBTCONSOLIDATION,C,25,8800,14.27,0,0.05,3,174000,2,N
RENT,DEBTCONSOLIDATION,B,26,12000,12.53,0,0.07,4,174000,8,N
MORTGAGE,DEBTCONSOLIDATION,E,25,25000,16,1,0.15,3,162000,5,Y
MORTGAGE,VENTURE,B,26,10000,11.71,0,0.06,4,173467,10,N
OWN,HOMEIMPROVEMENT,C,21,3175,11.54,1,0.21,3,15000,0,Y
RENT,HOMEIMPROVEMENT,E,25,25000,15.68,1,0.26,4,96000,2,Y
MORTGAGE,EDUCATION,B,21,1500,10.59,0,0.1,2,15120,0,N
RENT,HOMEIMPROVEMENT,D,24,25000,12.61,1,0.26,2,97908,8,Y
RENT,PERSONAL,C,26,25000,0,0,0.23,2,110000,3,Y
MORTGAGE,PERSONAL,A,23,2800,8.49,1,0.18,3,15204,7,N
RENT,PERSONAL,D,25,30000,17.27,1,0.19,4,159600,0,Y
RENT,DEBTCONSOLIDATION,A,24,18000,8.9,0,0.1,4,171500,6,N
MORTGAGE,MEDICAL,B,25,10000,11.11,0,0.06,4,170004,3,N
RENT,HOMEIMPROVEMENT,D,24,25000,14.59,1,0.16,2,158004,0,Y
RENT,VENTURE,B,26,13000,12.42,0,0.08,3,170000,0,N
RENT,MEDICAL,D,24,25000,0,1,0.26,2,83300,0,N
RENT,HOMEIMPROVEMENT,D,24,25000,15.7,0,0.23,2,110000,7,Y
OWN,HOMEIMPROVEMENT,B,22,2500,12.53,1,0.16,3,15360,7,N
RENT,MEDICAL,D,25,5000,16.49,1,0.03,2,134300,3,N
MORTGAGE,EDUCATION,A,25,20000,7.49,0,0.12,2,170000,2,N
RENT,DEBTCONSOLIDATION,D,22,25000,14.96,1,0.25,2,100580,6,Y
RENT,MEDICAL,C,25,25000,12.73,0,0.22,4,113000,7,Y
RENT,EDUCATION,B,24,25000,10.65,0,0.21,4,120000,8,N
RENT,MEDICAL,B,25,25000,10.74,0,0.21,2,120000,6,N
RENT,EDUCATION,B,23,25000,9.99,0,0.21,2,120000,7,N
RENT,MEDICAL,D,24,25000,15.33,1,0.23,2,91800,5,Y
OWN,VENTURE,A,21,1000,7.29,0,0.06,4,15600,5,N
RENT,PERSONAL,D,26,25000,15.05,1,0.23,3,108000,2,N
RENT,PERSONAL,B,26,25000,10.75,0,0.19,3,129996,6,N
RENT,EDUCATION,D,23,25000,16.02,0,0.19,2,130000,4,Y
RENT,VENTURE,B,23,25000,11.49,0,0.19,4,130000,7,N
OWN,EDUCATION,B,25,20000,12.53,0,0.12,4,170000,4,N
MORTGAGE,VENTURE,C,26,12000,13.57,0,0.07,2,170000,0,Y
RENT,PERSONAL,B,22,14000,11.14,0,0.08,3,169000,1,N
RENT,MEDICAL,C,26,24250,12.87,0,0.14,3,168750,10,Y
RENT,EDUCATION,B,23,20000,11.58,0,0.12,3,168600,3,N
RENT,HOMEIMPROVEMENT,B,24,1800,11.12,0,0.01,3,168288,5,N
MORTGAGE,PERSONAL,B,25,35000,10.65,0,0.21,2,168000,2,N
RENT,DEBTCONSOLIDATION,B,24,25000,10.37,0,0.19,2,133300,6,N
OWN,HOMEIMPROVEMENT,A,24,3300,6.39,1,0.21,4,15600,5,N
RENT,PERSONAL,D,24,25000,16.07,0,0.19,3,134000,8,Y
RENT,MEDICAL,B,25,25000,10.62,0,0.19,2,134000,7,N
OWN,VENTURE,F,25,3200,18.09,1,0.21,2,15600,0,N
RENT,EDUCATION,B,25,25000,11.36,0,0.19,4,135000,5,N
RENT,DEBTCONSOLIDATION,B,26,25000,12.53,0,0.18,4,135660,10,N
RENT,EDUCATION,B,25,25000,9.99,0,0.17,4,145000,0,N
RENT,EDUCATION,B,23,25000,10.36,0,0.17,3,150000,4,N
MORTGAGE,EDUCATION,A,23,9600,5.99,0,0.06,3,165000,3,N
